序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,Data
1610,13:39:37.484,0x8EF9741,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 4F 70 65 6E 20 43 61 6D 
1611,13:39:37.484,0x8EF9742,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 65 72 61 75 63 63 65 73 
1612,13:39:37.484,0x8EF9744,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 73 21 21 0A 43 68 75 6E 
1613,13:39:37.484,0x8EF9746,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 6B 49 44 3A 30 0A 69 56 
1614,13:39:37.484,0x8EF9748,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 42 4F 52 77 30 4B 47 67 
1615,13:39:37.484,0x8EF9749,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 6F 41 41 41 41 4E 53 55 
1616,13:39:37.484,0x8EF974B,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 68 45 55 67 41 41 42 34 
1617,13:39:37.484,0x8EF974D,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 41 41 41 41 51 34 43 41 
1618,13:39:37.484,0x8EF974F,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 59 41 41 41 44 6F 30 38 
1619,13:39:37.484,0x8EF9750,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 46 44 41 41 41 41 42 48 
1620,13:39:37.484,0x8EF9752,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 4E 43 53 56 51 49 43 41 
1621,13:39:37.484,0x8EF9754,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 67 49 66 41 68 6B 69 41 
1622,13:39:37.484,0x8EF9756,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 41 41 49 41 42 4A 52 45 
1623,13:39:37.484,0x8EF9759,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 46 55 0A 65 4A 79 63 6E 
1624,13:39:37.484,0x8EF975C,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 66 75 4F 49 37 6D 52 39 
1625,13:39:37.484,0x8EF975E,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 5A 6C 53 56 55 6D 71 36 
1626,13:39:37.484,0x8EF9761,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 75 6D 32 31 7A 5A 67 37 
