序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,Data
74506,16:56:26.884,0x2AE22BB6,ch1,接收,0x0321,数据帧,标准帧,0x08,x| FF D8 FF E0 00 10 4A 46 
74507,16:56:26.884,0x2AE22BB8,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 49 46 00 01 01 00 00 01 
74508,16:56:26.884,0x2AE22BBA,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 00 01 00 00 FF DB 00 43 
74509,16:56:26.884,0x2AE22BBC,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 00 01 01 01 01 01 01 01 
74510,16:56:26.884,0x2AE22BBE,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 01 01 01 01 01 01 01 01 
74511,16:56:26.884,0x2AE22BC0,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 01 01 01 01 01 01 01 01 
74512,16:56:26.884,0x2AE22BC2,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 01 01 01 01 01 01 01 01 
74513,16:56:26.884,0x2AE22BC4,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 01 01 01 01 01 01 01 01 
74514,16:56:26.884,0x2AE22BC6,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 01 01 01 01 01 01 01 01 
74515,16:56:26.884,0x2AE22BC8,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 01 01 01 01 01 01 01 01 
74516,16:56:26.884,0x2AE22BCA,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 01 01 01 01 01 01 01 01 
74517,16:56:26.884,0x2AE22BCC,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 01 FF DB 00 43 01 01 01 
74518,16:56:26.884,0x2AE22BCE,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 01 01 01 01 01 01 01 01 
74519,16:56:26.884,0x2AE22BD0,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 01 01 01 01 01 01 01 01 
74520,16:56:26.884,0x2AE22BD2,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 01 01 01 01 01 01 01 01 
74521,16:56:26.884,0x2AE22BD4,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 01 01 01 01 01 01 01 01 
74522,16:56:26.884,0x2AE22BD6,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 01 01 01 01 01 01 01 01 
74523,16:56:26.884,0x2AE22BD8,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 01 01 01 01 01 01 01 01 
74524,16:56:26.884,0x2AE22BDA,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 01 01 01 01 01 01 01 01 
74525,16:56:26.884,0x2AE22BDC,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 01 01 01 01 01 01 FF C0 
74526,16:56:26.884,0x2AE22BDE,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 00 11 08 04 38 07 80 03 
74527,16:56:26.884,0x2AE22BE0,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 01 22 00 02 11 01 03 11 
74528,16:56:26.884,0x2AE22BE2,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 01 FF C4 00 1C 00 00 03 
74529,16:56:26.884,0x2AE22BE4,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 01 01 01 01 01 01 00 00 
74530,16:56:26.884,0x2AE22BE6,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 00 00 00 00 00 00 01 02 
